Date,Type,Price,Size,Portfolio Value
2023-02-05,BUY,1061.0103174930114,30,99951.18949864716
2023-02-06,BUY,1059.6355089705544,30,99791.00850687428
2023-02-07,BUY,1060.093710721351,30,101592.8920094525
2023-03-07,SELL,1103.954876091951,-90,103933.75273272808
2023-03-12,BUY,1067.4268481947054,30,103321.89577321504
2023-03-13,BUY,1044.9691769993278,30,103148.65420346959
2023-03-14,BUY,1046.8483038913362,30,101432.01001837013
2023-04-16,SELL,1111.4025973314378,-90,109182.65661999641
2023-08-24,BUY,1223.8463263728836,30,109367.28147724741
2023-08-27,BUY,1231.8191648017903,30,108577.2084863187
2023-09-24,BUY,1171.2248715084886,30,105339.95086645466
2023-11-15,SELL,1171.573730950445,-90,105817.5815250416
2024-03-13,BUY,1434.8302115061217,30,105571.66687907671
2024-03-14,BUY,1421.1267024475223,30,104944.54549315103
2024-03-27,SELL,1487.8253589895007,-60,109408.39564580232
2024-04-28,BUY,1445.095377780333,30,109857.62171473607
2024-05-05,BUY,1430.6444513077029,30,108019.61141769249
2024-05-23,SELL,1478.6066260264545,-60,111852.5983347485
2024-06-04,BUY,1417.190107832571,30,111815.22517789638
2024-06-09,SELL,1464.9778053029827,-30,113286.22925886087
2024-07-23,BUY,1479.9769884762422,30,113606.14201668298
2024-07-25,BUY,1487.3520101091112,30,114501.60588333152
2024-08-26,SELL,1510.5,-60,114896.35930130027
2024-09-10,BUY,1463.050048828125,30,114549.85783645652
2024-09-11,BUY,1457.0,30,116082.86076614402
2024-09-29,SELL,1519.4000244140625,-60,118458.85930130027
2024-10-03,BUY,1403.925048828125,30,117936.8585688784
2024-10-06,BUY,1393.5,30,116779.60637161277
2024-12-05,SELL,1323.9000244140625,-60,113970.10930130027
2024-12-17,BUY,1240.6500244140625,30,114348.1085688784
2024-12-19,BUY,1224.0,30,112348.6114985659
2024-12-22,BUY,1215.0,30,113587.61296340964
2025-01-16,SELL,1322.25,-90,122583.1085688784
