Date,Type,Price,Size,Portfolio Value
2023-04-04,BUY,1072.3335221459333,30,99696.52387663763
2023-08-28,SELL,1221.8780285188975,-30,104486.33519118893
2023-11-15,BUY,1171.573730950445,30,104629.84591892558
2024-04-23,SELL,1458.5496543975278,-30,113095.61289460142
2024-05-22,BUY,1453.6164571204579,30,113917.82230598768
2024-05-29,SELL,1430.6443960271654,-30,112406.45106180264
2024-06-03,BUY,1492.982856381879,30,109393.4265519869
2024-06-04,SELL,1417.190107832571,-30,110132.66860532339
2024-06-09,BUY,1464.9778053029827,30,110176.02365521828
2024-08-05,SELL,1450.2280198935075,-30,109690.17504303913
2024-08-29,BUY,1534.0,30,108958.92504303913
2024-09-05,SELL,1492.5,-30,108445.17504303913
2024-09-29,BUY,1519.4000244140625,30,107160.4228457735
2024-09-30,SELL,1480.6500244140625,-30,107282.67504303913
2025-01-16,BUY,1322.25,30,106685.67431061725
2025-01-23,SELL,1266.0,-30,105595.17504303913
