Date,Type,Price,Size,Portfolio Value
2023-04-04,BUY,1062.2176513671875,30,100303.47612336237
2023-05-25,SELL,1144.720703125,-30,102475.09155273438
2023-10-18,BUY,1149.1746826171875,30,102562.54619881659
2023-11-02,BUY,1155.9267578125,30,102901.89274119916
2024-02-22,SELL,1488.57275390625,-60,122636.41357421875
2024-05-26,BUY,1461.2904052734375,30,123054.24472997652
2024-06-25,SELL,1508.90380859375,-30,124064.81567382812
2024-08-26,BUY,1500.449951171875,30,124366.31713867188
2024-09-09,SELL,1461.5250244140625,-30,122897.06787109375
2024-09-26,BUY,1526.175048828125,30,122081.81640625
2024-11-26,BUY,1293.199951171875,30,115925.81787109375
2025-01-06,BUY,1240.8499755859375,30,111070.31860351562
