Date,Type,Price,Size,Portfolio Value
2023-01-09,BUY,1194.3814682477307,30,99345.51884319307
2023-01-12,SELL,1126.733479820312,-30,97970.56034717744
2023-02-08,BUY,1078.6327793113203,30,98006.3071924472
2023-02-22,SELL,1089.8845780570418,-30,98308.11430954908
2023-03-05,BUY,1099.96760718037,30,98427.7347757786
2023-03-12,SELL,1067.4268481947054,-30,97331.89153997914
2023-03-22,BUY,1039.4693329479808,30,97054.15066286785
2023-04-18,SELL,1072.0330024650548,-30,98308.80162549137
2023-05-01,BUY,1116.5587580773165,30,98375.4873695
2023-05-16,SELL,1128.8416254760998,-30,98677.28764745487
2023-05-23,BUY,1121.0044934210875,30,98599.60035458786
2023-05-25,SELL,1126.550105143105,-30,98843.65599911539
2023-05-28,BUY,1155.424265314273,30,98838.15704359344
2023-06-01,SELL,1132.508226805784,-30,98156.17484386073
2023-06-08,BUY,1149.0077425106983,30,97811.74823260229
2023-06-22,SELL,1159.0449690703254,-30,98457.29164064955
2023-07-02,BUY,1172.405127566636,30,99249.95592888484
2023-07-23,SELL,1231.9522253270634,-30,100243.70457346237
2023-08-01,BUY,1245.9549662344152,30,99903.31852588303
2023-08-02,SELL,1229.1218176653272,-30,99738.71011638973
2023-08-08,BUY,1243.795086951167,30,100041.85457816723
2023-08-20,SELL,1265.6792722383425,-30,100395.23567500501
2023-09-06,BUY,1206.7542365297652,30,100549.21380372143
2023-09-13,SELL,1225.8394987141144,-30,100967.7935405355
2023-10-11,BUY,1167.961046183318,30,101050.75903003596
2023-10-18,SELL,1152.089837486595,-30,100491.6572796338
2023-10-30,BUY,1160.062796398939,30,99892.19037985313
2023-11-12,SELL,1157.521363405594,-30,100415.41428983345
2023-11-15,BUY,1171.573730950445,30,100558.9250175701
2023-11-30,SELL,1184.978250754839,-30,100817.54988396529
2023-12-04,BUY,1215.3750832246371,30,100798.86330519491
2023-12-13,SELL,1222.849685499821,-30,101041.7879522208
2023-12-14,BUY,1234.8090631774007,30,101304.89642799253
2024-01-02,SELL,1300.5858250252782,-30,103015.0908076571
2024-01-03,BUY,1289.623027642852,30,103144.40046665279
2024-01-08,SELL,1295.60276290932,-30,103194.48286565114
2024-01-10,BUY,1325.0029743810333,30,104103.39876117327
2024-01-23,SELL,1330.708579978037,-30,103365.65103356125
2024-01-29,BUY,1455.0116072188218,30,101801.21224082472
2024-02-19,SELL,1470.0357864990758,-30,103816.37641196887
2024-02-21,BUY,1463.1839419725131,30,104222.99560396536
2024-02-28,SELL,1460.044631538696,-30,103722.19709895435
2024-03-03,BUY,1485.4334693922297,30,104228.23110312496
2024-03-11,SELL,1461.6392256628503,-30,103008.36978707297
2024-03-21,BUY,1445.0704265469687,30,103159.35879730454
2024-04-04,SELL,1455.9335356774968,-30,103334.2630609888
2024-04-18,BUY,1451.8475240790597,30,103733.40765111701
2024-04-21,SELL,1467.4693666335522,-30,103802.91833762359
2024-04-23,BUY,1458.5496543975278,30,103404.52196741651
2024-04-25,SELL,1458.998183328187,-30,103816.37420554337
2024-05-14,BUY,1415.6951817447234,30,103690.05366531105
2024-05-28,SELL,1441.6072222176565,-30,104593.73541973135
2024-06-03,BUY,1492.982856381879,30,101580.71090991561
2024-06-04,SELL,1417.190107832571,-30,102319.95296325212
2024-06-10,BUY,1464.0310643972782,30,101951.45511336502
2024-07-17,SELL,1570.6691650942505,-30,105519.09598416128
2024-07-29,BUY,1511.8936309498918,30,105403.23920410202
2024-08-05,SELL,1450.2280198935075,-30,103669.12765246976
2024-08-19,BUY,1497.2249755859375,30,103630.87692004789
2024-09-04,SELL,1519.050048828125,-30,104323.87984973539
2024-09-18,BUY,1466.25,30,104426.63131457914
2024-09-30,SELL,1480.6500244140625,-30,104755.88058215726
2024-10-21,BUY,1369.199951171875,30,103980.38131457914
2024-10-23,SELL,1335.2750244140625,-30,103738.13277942289
2024-11-25,BUY,1294.949951171875,30,103760.63277942289
2024-12-10,SELL,1285.0,-30,103439.63424426664
2025-01-01,BUY,1221.25,30,104056.13570911039
2025-01-06,SELL,1222.0,-30,103462.13424426664
2025-01-08,BUY,1267.0,30,103094.63424426664
2025-01-23,SELL,1266.0,-30,103432.13424426664
2025-01-31,BUY,1265.0999755859375,30,103417.13424426664
2025-02-10,SELL,1264.550048828125,-30,103415.63644153226
