Date,Type,Price,Size,Portfolio Value
2023-01-27,BUY,1067.4697265625,30,100644.63489984945
2023-02-17,SELL,1114.4412841796875,-30,101409.14672851562
2023-03-15,BUY,1021.66259765625,30,102053.78161850163
2023-04-05,SELL,1062.2176513671875,-30,102625.79833984375
2023-09-04,BUY,1201.2728271484375,30,102654.94867050892
2023-09-13,SELL,1221.379638671875,-30,103229.00268554688
2023-09-26,BUY,1167.2882080078125,30,103169.95383058248
2023-11-22,SELL,1190.0609130859375,-30,103912.18383789062
2024-03-19,BUY,1420.4290771484375,30,104016.8286743057
2024-04-01,SELL,1479.7528076171875,-30,105691.89575195312
2024-05-09,BUY,1389.409423828125,30,106256.23043230292
2024-05-24,SELL,1475.2430419921875,-30,108266.904296875
2024-07-24,BUY,1490.6407470703125,30,107946.99153905289
2024-08-27,SELL,1500.449951171875,-30,108561.18041992188
2024-10-07,BUY,1370.7249755859375,30,109244.43115234375
2024-12-05,SELL,1322.050048828125,-30,107100.9326171875
2024-12-23,BUY,1222.300048828125,30,106881.93115234375
2025-01-20,SELL,1305.449951171875,-30,109595.4296875
