Date,Type,Price,Size,Portfolio Value
2023-05-02,BUY,1112.8437409289727,30,99660.00271353708
2023-05-04,BUY,1111.0230715749683,30,99965.85841785053
2023-08-27,SELL,1227.6384530850385,-60,106942.30280998409
2023-11-21,BUY,1179.4665240485472,30,107138.96260610581
2023-11-22,BUY,1186.0218848115442,30,107356.48355199385
2023-11-23,BUY,1187.7104158519992,30,107343.06658424638
2024-03-13,SELL,1429.960349068663,-90,129042.76948480104
2024-06-03,BUY,1487.9156639356331,30,126039.97119759143
2024-06-04,SELL,1412.3802156651416,-30,126776.7060366863
2024-06-27,BUY,1520.6676062297508,30,127800.97960760628
2024-06-30,BUY,1551.9545141363872,30,127573.77728898342
2024-07-22,SELL,1490.8457045714713,-60,124048.78469999044
